210,242,80,100.0
Z197,28
R110,Z126,Z209
R200,Z179,Z62
R44,Z30,Z70
R161,Z74,Z150
R204,Z41,Z100
R94,Z41,Z66
R88,Z41,Z116
R192,Z37,Z53
R185,Z126,Z75
R23,Z186,Z6
R85,Z157,Z111
R107,Z104,Z55
R126,Z53,Z111
R144,Z77,Z163
R69,Z112,Z185
R216,Z89,Z147
R28,Z104,Z111
R145,Z95,Z137
R174,Z56,Z21
R18,Z107,Z205
R230,Z189,Z184
R170,Z33,Z199
R115,Z28,Z83
R128,Z204,Z90
R42,Z208,Z199
R63,Z208,Z164
R60,Z16,Z100
R27,Z208,Z131
R130,Z94,Z40
R140,Z69,Z133
R151,Z189,Z24
R178,Z90,Z13
R33,Z159,Z118
R159,Z133,Z81
R54,Z25,Z119
R91,Z8,Z20
R5,Z25,Z101
R195,Z192,Z8
R180,Z8,Z138
R37,Z12,Z183
R186,Z180,Z147
R3,Z92,Z152
R241,Z105,Z63
R48,Z23,Z128
R189,Z198,Z112
R65,Z54,Z35
R133,Z23,Z207
R158,Z40,Z138
R147,Z207,Z83
R191,Z138,Z161
R83,Z23,Z188
R149,Z40,Z141
R98,Z49,Z24
R74,Z103,Z107
R179,Z0,Z148
R17,Z132,Z152
R194,Z18,Z55
R113,Z18,Z7
R183,Z18,Z45
R214,Z68,Z73
R57,Z68,Z40
R196,Z145,Z161
R117,Z145,Z40
R66,Z49,Z135
R6,Z108,Z29
R25,Z188,Z45
R30,Z7,Z28
R190,Z34,Z29
R205,Z13,Z139
R108,Z178,Z76
R1,Z178,Z46
R212,Z202,Z194
R240,Z165,Z3
R164,Z202,Z53
R16,Z64,Z197
R100,Z165,Z29
R156,Z64,Z51
3000
G856,Z103,Z205,10.0,Z107
G1685,Z103,Z205,10.0,Z107
G39,Z160,Z46,1.25,null
G357,Z196,Z164,10.0,Z69,Z150
G41,Z160,Z46,1.25,Z68,Z141
G2567,Z196,Z164,10.0,Z208
G42,Z160,Z46,1.25,null
G2054,Z196,Z164,10.0,null
G43,Z160,Z46,10.0,Z40
G2422,Z196,Z164,10.0,Z133,Z74,Z208
G44,Z46,Z102,10.0,null
G45,Z72,Z164,10.0,null
G2446,Z196,Z164,100.0,Z150
G46,Z74,Z150,10.0,null
G47,Z58,Z84,10.0,null
G2096,Z196,Z164,100.0,Z74,Z124,Z208
G48,Z58,Z84,10.0,null
G49,Z112,Z185,100.0,null
G2972,Z197,Z30,10.0,null
G50,Z39,Z102,10.0,null
G51,Z58,Z84,10.0,null
G1751,Z183,Z116,10.0,Z16
G52,Z160,Z162,10.0,Z57
G53,Z39,Z102,10.0,null
G54,Z155,Z18,10.0,Z99,Z55
G55,Z39,Z102,10.0,Z73
G56,Z155,Z18,10.0,null
G57,Z71,Z46,1.25,Z178
G30,Z6,Z186,100.0,null
G16,Z6,Z186,100.0,null
G199,Z6,Z197,1.25,Z45,Z78
G61,Z39,Z102,10.0,null
G62,Z6,Z116,10.0,null
G2142,Z6,Z197,1.25,Z45,Z97
G63,Z6,Z116,10.0,null
G553,Z6,Z197,1.25,Z23
G66,Z61,Z209,10.0,null
G1089,Z74,Z84,2.5,null
G67,Z195,Z79,100.0,null
G68,Z186,Z6,10.0,Z129
G371,Z74,Z84,2.5,Z33,Z199,Z208
G69,Z195,Z79,10.0,null
G70,Z186,Z6,10.0,Z129
G1475,Z74,Z84,2.5,Z182,Z33,Z199
G72,Z136,Z131,10.0,null
G73,Z186,Z6,10.0,Z129
G1372,Z74,Z84,2.5,Z124,Z182,Z33
G74,Z186,Z6,10.0,Z129
G75,Z129,Z142,2.5,null
G1551,Z103,Z205,1.25,null
G76,Z186,Z6,10.0,null
G77,Z129,Z142,2.5,null
G1188,Z114,Z140,10.0,null
G78,Z186,Z6,10.0,null
G79,Z129,Z142,2.5,null
G80,Z186,Z6,10.0,null
G1077,Z103,Z205,10.0,null
G32,Z186,Z6,100.0,null
G82,Z186,Z6,100.0,null
G83,Z186,Z6,1.25,Z129
G2085,Z18,Z99,10.0,null
G967,Z186,Z29,10.0,null
G87,Z129,Z142,2.5,null
G202,Z18,Z99,10.0,Z104,Z111,Z53
G89,Z129,Z142,2.5,null
G916,Z18,Z99,10.0,null
G91,Z129,Z142,2.5,null
G2545,Z8,Z20,10.0,null
G92,Z129,Z142,2.5,null
G2511,Z0,Z16,10.0,null
G93,Z186,Z6,1.25,null
G94,Z129,Z142,2.5,null
G498,Z46,Z45,1.25,null
G95,Z146,Z8,1.25,Z20
G96,Z186,Z6,1.25,Z129
G2417,Z154,Z144,10.0,null
G97,Z146,Z8,10.0,null
G99,Z186,Z6,1.25,Z129
G1248,Z177,Z29,2.5,null
G31,Z6,Z186,100.0,null
G100,Z19,Z197,10.0,Z91
G1359,Z177,Z29,10.0,null
G34,Z6,Z186,100.0,null
G101,Z121,Z20,10.0,null
G102,Z197,Z116,10.0,Z181
G103,Z87,Z125,100.0,null
G104,Z196,Z23,10.0,Z124
G105,Z129,Z18,10.0,Z142,Z128,Z188
G106,Z129,Z18,10.0,Z128,Z188
G107,Z16,Z100,10.0,null
G664,Z197,Z30,1.25,Z193,Z191,Z203
G110,Z197,Z116,10.0,Z51
G111,Z197,Z116,10.0,Z64,Z51,Z26
G2069,Z197,Z30,1.25,null
G112,Z197,Z116,10.0,null
G567,Z197,Z30,1.25,null
G113,Z59,Z12,1.25,null
G456,Z23,Z18,10.0,Z45
G115,Z59,Z12,10.0,null
G117,Z16,Z100,1.25,null
G171,Z33,Z182,100.0,null
G118,Z87,Z195,10.0,null
G119,Z58,Z208,10.0,null
G732,Z0,Z148,10.0,null
G120,Z87,Z195,100.0,null
G121,Z58,Z208,10.0,null
G266,Z0,Z148,1.25,null
G123,Z27,Z48,100.0,null
G124,Z58,Z208,10.0,null
G1950,Z186,Z29,100.0,Z151,Z156
G125,Z47,Z110,10.0,null
G126,Z14,Z176,10.0,null
G2152,Z186,Z29,100.0,null
G127,Z47,Z110,10.0,null
G128,Z14,Z176,10.0,null
G130,Z47,Z110,10.0,null
G1653,Z186,Z29,10.0,Z118,Z184
G131,Z47,Z110,10.0,null
G133,Z174,Z209,10.0,null
G134,Z164,Z50,10.0,Z147
G638,Z49,Z24,10.0,null
G64,Z49,Z24,10.0,null
G144,Z113,Z8,100.0,null
G2202,Z46,Z103,1.25,Z141,Z73
G145,Z96,Z93,10.0,null
G2111,Z49,Z24,10.0,null
G146,Z96,Z93,10.0,null
G2585,Z46,Z103,1.25,null
G132,Z46,Z103,1.25,Z73,Z40,Z107
G147,Z96,Z93,10.0,null
G149,Z96,Z93,10.0,null
G150,Z20,Z35,1.25,null
G1675,Z46,Z103,1.25,Z68
G151,Z166,Z10,10.0,null
G153,Z104,Z105,10.0,null
G2475,Z46,Z103,1.25,Z141
G154,Z90,Z204,100.0,null
G155,Z104,Z105,10.0,Z53
G2966,Z46,Z103,1.25,Z8
G156,Z3,Z18,10.0,null
G157,Z6,Z84,10.0,Z206,Z156,Z96
G2318,Z46,Z103,1.25,Z68,Z40
G158,Z37,Z99,10.0,Z53
G159,Z6,Z84,10.0,Z184,Z189,Z29
G161,Z6,Z84,1.25,Z147,Z72
G162,Z166,Z151,10.0,null
G165,Z166,Z151,10.0,null
G166,Z2,Z194,10.0,null
G167,Z160,Z45,10.0,Z207
G168,Z208,Z84,10.0,Z58
G1267,Z177,Z29,2.5,null
G173,Z6,Z84,1.25,Z47
G174,Z6,Z84,1.25,Z151,Z158
G1079,Z160,Z46,1.25,null
G1352,Z177,Z29,2.5,null
G176,Z6,Z84,1.25,null
G302,Z160,Z46,1.25,Z20,Z8,Z40
G1375,Z177,Z29,2.5,null
G90,Z177,Z29,2.5,null
G177,Z6,Z84,1.25,null
G2367,Z160,Z46,10.0,Z141
G178,Z208,Z84,10.0,null
G179,Z6,Z84,1.25,null
G911,Z177,Z29,2.5,null
G1838,Z160,Z46,1.25,null
G180,Z186,Z84,10.0,Z45,Z29,Z98
G181,Z6,Z84,2.5,null
G1157,Z177,Z29,2.5,null
G2014,Z74,Z150,10.0,null
G182,Z186,Z84,10.0,Z142,Z27,Z199
G183,Z178,Z14,10.0,Z36,Z77,Z163
G382,Z177,Z29,2.5,null
G2882,Z72,Z164,10.0,Z79
G184,Z186,Z84,10.0,Z154
G185,Z178,Z14,1.25,Z36
G391,Z207,Z83,100.0,null
G704,Z39,Z102,10.0,null
G186,Z186,Z84,10.0,null
G187,Z178,Z14,1.25,null
G453,Z23,Z205,10.0,Z207,Z35,Z121
G1427,Z112,Z185,100.0,null
G188,Z186,Z84,10.0,Z147,Z89
G189,Z178,Z14,10.0,Z36
G1556,Z39,Z102,10.0,null
G190,Z186,Z84,10.0,null
G908,Z49,Z24,10.0,null
G2359,Z39,Z102,10.0,null
G191,Z186,Z84,1.25,null
G192,Z186,Z84,1.25,Z108,Z72
G193,Z125,Z139,100.0,null
G203,Z178,Z14,10.0,null
G2259,Z39,Z102,10.0,null
G205,Z109,Z29,10.0,Z108
G206,Z109,Z29,10.0,Z108
G2586,Z6,Z116,10.0,Z151,Z156,Z49
G207,Z206,Z159,100.0,null
G351,Z6,Z116,10.0,Z197,Z181
G208,Z23,Z6,1.25,Z128
G210,Z14,Z75,1.25,Z31,Z126
G211,Z6,Z150,10.0,Z206
G804,Z195,Z79,100.0,null
G212,Z23,Z6,1.25,Z142
G213,Z14,Z75,1.25,null
G214,Z6,Z150,10.0,Z158
G1725,Z61,Z209,10.0,null
G215,Z23,Z6,1.25,Z129
G216,Z14,Z75,10.0,Z176,Z31
G217,Z6,Z150,1.25,null
G429,Z136,Z131,10.0,null
G218,Z23,Z6,1.25,null
G219,Z14,Z75,10.0,Z126
G221,Z6,Z150,1.25,Z189,Z158
G2740,Z195,Z79,10.0,null
G222,Z23,Z6,10.0,Z129
G223,Z14,Z75,1.25,null
G224,Z6,Z150,1.25,Z96,Z108
G1749,Z129,Z142,2.5,null
G225,Z23,Z6,10.0,Z142
G226,Z14,Z75,1.25,Z126
G227,Z6,Z150,1.25,Z156,Z189,Z49
G2597,Z129,Z142,2.5,null
G228,Z23,Z6,10.0,Z128
G229,Z14,Z75,1.25,null
G231,Z23,Z6,10.0,Z142
G232,Z14,Z75,1.25,Z31
G2738,Z129,Z142,2.5,null
G233,Z23,Z6,10.0,Z128
G234,Z14,Z75,1.25,Z176,Z31
G235,Z23,Z6,10.0,Z142
G236,Z14,Z75,1.25,Z176,Z209,Z126
G241,Z6,Z150,10.0,Z137,Z27
G242,Z155,Z6,10.0,Z53,Z55,Z23
G765,Z129,Z142,2.5,null
G243,Z46,Z179,1.25,null
G2920,Z129,Z142,2.5,null
G244,Z197,Z91,10.0,null
G1752,Z129,Z142,2.5,null
G245,Z23,Z6,10.0,Z128
G246,Z197,Z91,10.0,null
G614,Z129,Z142,2.5,null
G247,Z23,Z6,10.0,null
G248,Z197,Z91,2.5,null
G551,Z146,Z8,1.25,null
G249,Z23,Z6,10.0,Z128
G250,Z197,Z91,2.5,null
G2482,Z129,Z142,2.5,null
G251,Z23,Z6,10.0,Z142
G252,Z145,Z161,1.25,null
G2060,Z19,Z197,10.0,Z63
G253,Z23,Z6,10.0,null
G254,Z145,Z161,1.25,null
G1939,Z146,Z8,10.0,Z20
G255,Z23,Z6,10.0,Z142
G256,Z145,Z161,1.25,null
G1787,Z197,Z116,10.0,Z51
G257,Z23,Z6,1.25,null
G1987,Z121,Z20,10.0,null
G260,Z23,Z6,10.0,Z142
G261,Z23,Z6,1.25,Z129
G262,Z23,Z6,1.25,null
G1200,Z197,Z116,10.0,null
G522,Z197,Z116,10.0,Z64,Z51,Z4
G339,Z197,Z116,10.0,null
G268,Z23,Z6,1.25,null
G2110,Z59,Z12,10.0,null
G269,Z18,Z6,1.25,Z45,Z128,Z142
G439,Z59,Z12,1.25,null
G272,Z18,Z6,1.25,Z45,Z23,Z142
G1849,Z58,Z208,10.0,null
G273,Z18,Z6,10.0,Z128,Z142,Z129
G1175,Z58,Z208,10.0,null
G275,Z18,Z6,10.0,null
G1997,Z14,Z176,10.0,null
G276,Z18,Z6,10.0,null
G975,Z58,Z208,10.0,null
G277,Z18,Z6,1.25,Z188,Z128
G278,Z18,Z6,10.0,Z23,Z128
G444,Z14,Z176,10.0,null
G280,Z18,Z6,10.0,null
G281,Z18,Z6,10.0,Z142,Z129
G1011,Z96,Z93,10.0,null
G881,Z113,Z8,100.0,null
G1136,Z96,Z93,10.0,null
G114,Z96,Z93,10.0,null
G290,Z96,Z29,10.0,null
G292,Z142,Z6,10.0,null
G976,Z104,Z105,10.0,Z97
G293,Z142,Z6,1.25,Z129
G1772,Z96,Z93,10.0,null
G294,Z142,Z6,1.25,Z129
G1198,Z6,Z84,10.0,Z147
G295,Z142,Z6,1.25,Z129
G546,Z104,Z105,10.0,Z53,Z155,Z175
G296,Z142,Z6,1.25,null
G1498,Z6,Z84,1.25,Z108,Z60,Z27
G298,Z142,Z6,1.25,null
G1808,Z6,Z84,10.0,Z110
G299,Z142,Z6,10.0,Z129
G300,Z160,Z6,1.25,Z128
G301,Z160,Z6,1.25,Z54,Z142
G1405,Z6,Z84,1.25,null
G2002,Z6,Z84,1.25,Z44,Z98
G1732,Z6,Z84,1.25,Z158
G270,Z6,Z84,1.25,null
G309,Z160,Z6,1.25,Z54,Z142,Z129
G311,Z160,Z6,1.25,Z207,Z23,Z142
G1169,Z6,Z84,1.25,Z206,Z85,Z147
G148,Z178,Z14,10.0,Z76,Z15,Z71
G313,Z160,Z6,1.25,Z128,Z142
G315,Z160,Z6,1.25,null
G1241,Z6,Z84,2.5,Z151,Z189,Z60
G316,Z160,Z6,1.25,null
G697,Z178,Z14,1.25,Z153,Z77,Z163
G317,Z160,Z6,1.25,Z57
G2041,Z178,Z14,1.25,null
G318,Z160,Z6,1.25,Z54,Z162
G319,Z160,Z6,1.25,null
G904,Z178,Z14,10.0,null
G320,Z160,Z6,1.25,Z54,Z162,Z142
G321,Z160,Z6,1.25,null
G1841,Z109,Z29,10.0,Z108
G2149,Z178,Z14,10.0,Z120,Z179
G2707,Z206,Z159,100.0,null
G332,Z139,Z144,10.0,null
G1936,Z109,Z29,10.0,Z108
G333,Z29,Z171,10.0,Z165,Z45
G803,Z6,Z150,10.0,null
G334,Z178,Z30,10.0,Z148
G2426,Z6,Z150,10.0,Z159
G335,Z6,Z30,10.0,Z80
G1432,Z6,Z150,1.25,Z108
G198,Z6,Z150,1.25,Z118,Z156,Z110
G336,Z6,Z30,1.25,Z134,Z99
G338,Z68,Z73,10.0,null
G972,Z6,Z150,1.25,Z206,Z60
G341,Z68,Z73,10.0,null
G1553,Z6,Z150,1.25,Z95,Z79,Z67
G343,Z68,Z73,10.0,null
G346,Z68,Z73,1.25,null
G347,Z68,Z73,1.25,null
G230,Z6,Z150,10.0,Z206,Z156,Z67
G2806,Z46,Z179,1.25,null
G2320,Z155,Z6,10.0,Z53,Z128
G355,Z68,Z73,1.25,null
G1456,Z197,Z91,10.0,null
G358,Z68,Z73,1.25,null
G736,Z197,Z91,10.0,null
G359,Z123,Z193,10.0,Z106
G364,Z197,Z91,2.5,null
G360,Z123,Z193,2.5,Z106
G884,Z197,Z91,2.5,null
G362,Z123,Z193,2.5,Z106
G508,Z145,Z161,1.25,null
G363,Z123,Z193,2.5,Z106
G577,Z145,Z161,1.25,null
G365,Z123,Z193,2.5,Z106
G366,Z123,Z193,2.5,Z106
G1994,Z145,Z161,1.25,null
G367,Z123,Z193,2.5,Z106
G368,Z123,Z193,2.5,Z106
G1132,Z145,Z161,1.25,null
G2568,Z145,Z161,1.25,null
G1525,Z105,Z29,10.0,null
G201,Z145,Z161,1.25,null
G373,Z123,Z193,2.5,Z106
G375,Z47,Z95,10.0,Z60
G742,Z105,Z29,10.0,null
G376,Z186,Z23,10.0,Z129
G878,Z105,Z29,10.0,null
G377,Z186,Z23,10.0,null
G890,Z105,Z29,10.0,Z97,Z99,Z104
G378,Z186,Z23,10.0,Z142
G561,Z105,Z29,10.0,Z99,Z104
G380,Z186,Z23,10.0,Z142
G1195,Z105,Z29,10.0,Z97,Z18,Z3
G381,Z186,Z23,10.0,Z142
G1652,Z105,Z29,10.0,Z99,Z55
G384,Z186,Z23,10.0,null
G385,Z186,Z23,10.0,null
G386,Z186,Z23,10.0,null
G393,Z186,Z23,10.0,Z128
G395,Z186,Z23,10.0,Z129
G396,Z186,Z23,10.0,Z129
G397,Z186,Z23,10.0,Z129
G398,Z186,Z23,10.0,Z129
G400,Z186,Z23,10.0,Z129
G401,Z196,Z70,10.0,Z72,Z80
G402,Z196,Z70,10.0,Z147
G403,Z196,Z70,10.0,Z38,Z158,Z52
G404,Z196,Z70,2.5,Z74
G406,Z196,Z70,10.0,Z98,Z191
G407,Z196,Z70,10.0,Z29,Z42
G408,Z196,Z70,10.0,Z110,Z193
G409,Z196,Z70,10.0,null
G411,Z135,Z93,10.0,null
G412,Z135,Z93,10.0,null
G413,Z135,Z93,10.0,null
G414,Z135,Z93,10.0,null
G415,Z143,Z122,100.0,null
G416,Z146,Z46,1.25,Z40,Z68,Z73
G2425,Z172,Z70,10.0,Z127
G1882,Z46,Z40,1.25,Z73
G405,Z172,Z70,10.0,null
G2766,Z46,Z40,1.25,Z141
G2429,Z46,Z40,1.25,null
G327,Z46,Z40,10.0,Z68
G1154,Z46,Z40,10.0,Z141
G1404,Z46,Z40,10.0,Z73
G1025,Z46,Z40,10.0,Z141
G1499,Z46,Z40,10.0,Z68
G1155,Z129,Z6,2.5,null
G383,Z129,Z6,2.5,null
G1377,Z129,Z6,2.5,null
G1735,Z129,Z6,2.5,null
G458,Z103,Z6,1.25,Z205,Z142
G706,Z129,Z6,2.5,null
G459,Z103,Z6,1.25,Z54,Z129
G2230,Z129,Z6,2.5,null
G175,Z144,Z70,10.0,Z203
G461,Z103,Z6,1.25,Z121,Z57,Z207
G462,Z103,Z6,1.25,Z128
G540,Z196,Z150,1.25,null
G442,Z172,Z70,1.25,Z127
G463,Z103,Z6,1.25,Z121,Z162,Z128
G465,Z66,Z100,10.0,null
G606,Z8,Z192,100.0,null
G466,Z66,Z100,1.25,null
G468,Z89,Z147,10.0,null
G469,Z32,Z11,10.0,null
G470,Z32,Z11,10.0,null
G1099,Z23,Z45,10.0,Z188
G1910,Z23,Z45,2.5,null
G1618,Z23,Z45,10.0,Z188
G1270,Z23,Z45,2.5,Z188
G1080,Z23,Z45,2.5,Z188
G1239,Z23,Z45,2.5,Z188
G478,Z32,Z11,10.0,null
G1226,Z23,Z45,2.5,Z188
G479,Z32,Z11,10.0,null
G1047,Z23,Z45,2.5,Z188
G480,Z38,Z164,10.0,Z79
G1264,Z23,Z45,2.5,Z188
G481,Z145,Z40,1.25,null
G482,Z145,Z40,1.25,null
G1336,Z23,Z45,10.0,null
G486,Z145,Z40,1.25,null
G487,Z145,Z40,1.25,null
G488,Z145,Z40,1.25,null
G489,Z145,Z40,10.0,null
G490,Z145,Z40,10.0,null
G2003,Z46,Z161,1.25,Z73,Z68
G1218,Z46,Z40,10.0,Z141
G1918,Z46,Z161,10.0,Z73,Z145
G2062,Z46,Z161,1.25,null
G455,Z38,Z79,10.0,null
G494,Z145,Z40,10.0,null
G495,Z145,Z40,10.0,null
G1388,Z21,Z92,100.0,null
G496,Z145,Z40,10.0,null
G2119,Z38,Z79,10.0,null
G497,Z29,Z108,2.5,null
G2035,Z38,Z79,10.0,null
G499,Z29,Z108,2.5,null
G568,Z23,Z45,10.0,null
G500,Z29,Z108,2.5,null
G2156,Z23,Z45,10.0,Z188
G502,Z29,Z108,2.5,null
G504,Z29,Z108,1.25,null
G505,Z29,Z108,1.25,null
G506,Z29,Z108,1.25,null
G1952,Z196,Z6,10.0,null
G435,Z196,Z6,1.25,Z124,Z67,Z154
G4,Z196,Z6,10.0,null
G6,Z196,Z6,10.0,null
G21,Z196,Z6,100.0,null
G9,Z196,Z6,10.0,null
G8,Z196,Z6,10.0,null
G512,Z29,Z108,1.25,null
G513,Z29,Z108,1.25,null
G2967,Z196,Z6,1.25,Z159,Z154
G23,Z196,Z6,100.0,null
G514,Z29,Z108,10.0,null
G516,Z29,Z108,10.0,null
G517,Z29,Z108,10.0,null
G2869,Z196,Z6,1.25,Z147,Z98,Z159
G518,Z1,Z182,100.0,null
G519,Z204,Z198,100.0,null
G520,Z8,Z138,10.0,null
G521,Z8,Z138,1.25,null
G523,Z50,Z85,10.0,null
G1244,Z56,Z130,100.0,null
G2273,Z13,Z90,100.0,null
G1696,Z41,Z66,10.0,null
G1138,Z41,Z66,1.25,null
G529,Z146,Z138,1.25,null
G2622,Z146,Z6,1.25,Z54
G530,Z201,Z144,10.0,null
G2528,Z146,Z6,1.25,Z162
G534,Z201,Z144,10.0,null
G2404,Z196,Z6,10.0,Z98,Z137,Z49
G535,Z201,Z144,10.0,null
G2641,Z146,Z6,1.25,Z20,Z35,Z142
G537,Z201,Z144,10.0,null
G2590,Z196,Z6,10.0,Z50,Z189
G329,Z196,Z6,10.0,Z85,Z24
G538,Z105,Z29,100.0,Z99,Z165
G539,Z105,Z29,10.0,Z175,Z155,Z53
G541,Z105,Z29,10.0,null
G542,Z105,Z29,10.0,null
G544,Z105,Z29,10.0,null
G1824,Z196,Z6,1.25,Z150,Z44
G1962,Z6,Z196,10.0,null
G2121,Z6,Z196,10.0,Z96,Z158,Z147
G2737,Z6,Z196,10.0,Z184,Z79
G1253,Z6,Z196,1.25,Z69
G0,Z196,Z6,10.0,null
G550,Z105,Z29,10.0,Z3
G2077,Z196,Z6,100.0,null
G552,Z105,Z29,10.0,null
G2810,Z186,Z18,100.0,null
G554,Z105,Z29,10.0,Z155,Z78,Z104
