210,242,80,100.0
Z197,25
R110,Z126,Z209
R200,Z179,Z62
R44,Z30,Z70
R161,Z74,Z150
R204,Z41,Z100
R94,Z41,Z66
R88,Z41,Z116
R192,Z37,Z53
R185,Z126,Z75
R23,Z186,Z6
R85,Z157,Z111
R107,Z104,Z55
R126,Z53,Z111
R144,Z77,Z163
R69,Z112,Z185
R216,Z89,Z147
R28,Z104,Z111
R145,Z95,Z137
R174,Z56,Z21
R18,Z107,Z205
R230,Z189,Z184
R170,Z33,Z199
R115,Z28,Z83
R128,Z204,Z90
R42,Z208,Z199
R63,Z208,Z164
R60,Z16,Z100
R27,Z208,Z131
R130,Z94,Z40
R140,Z69,Z133
R151,Z189,Z24
R178,Z90,Z13
R33,Z159,Z118
R159,Z133,Z81
R54,Z25,Z119
R91,Z8,Z20
R5,Z25,Z101
R195,Z192,Z8
R180,Z8,Z138
R37,Z12,Z183
R186,Z180,Z147
R3,Z92,Z152
R241,Z105,Z63
R48,Z23,Z128
R189,Z198,Z112
R65,Z54,Z35
R133,Z23,Z207
R158,Z40,Z138
R147,Z207,Z83
R191,Z138,Z161
R83,Z23,Z188
R149,Z40,Z141
R98,Z49,Z24
R74,Z103,Z107
R179,Z0,Z148
R17,Z132,Z152
R194,Z18,Z55
R113,Z18,Z7
R183,Z18,Z45
R214,Z68,Z73
R57,Z68,Z40
R196,Z145,Z161
R117,Z145,Z40
R66,Z49,Z135
R6,Z108,Z29
R25,Z188,Z45
R30,Z7,Z28
R190,Z34,Z29
R205,Z13,Z139
R108,Z178,Z76
R1,Z178,Z46
R212,Z202,Z194
R240,Z165,Z3
R164,Z202,Z53
R16,Z64,Z197
R100,Z165,Z29
R156,Z64,Z51
2508
G687,Z103,Z205,10.0,null
G1372,Z103,Z205,10.0,null
G253,Z196,Z164,10.0,null
G2130,Z196,Z164,10.0,null
G1677,Z196,Z164,10.0,null
G1985,Z196,Z164,10.0,null
G11,Z46,Z102,10.0,null
G2009,Z196,Z164,100.0,null
G12,Z58,Z84,10.0,null
G1718,Z196,Z164,100.0,null
G13,Z58,Z84,10.0,null
G2487,Z197,Z30,10.0,null
G14,Z58,Z84,10.0,null
G1402,Z183,Z116,10.0,null
G15,Z160,Z162,10.0,null
G16,Z155,Z18,10.0,Z97,Z53,Z55
G17,Z155,Z18,10.0,null
G18,Z71,Z46,1.25,null
G19,Z6,Z186,100.0,null
G20,Z6,Z186,100.0,null
G115,Z6,Z197,1.25,null
G1764,Z6,Z197,1.25,null
G452,Z6,Z197,1.25,null
G852,Z74,Z84,2.5,null
G26,Z186,Z6,10.0,null
G267,Z74,Z84,2.5,null
G27,Z186,Z6,10.0,null
G1239,Z74,Z84,2.5,null
G29,Z186,Z6,10.0,null
G1138,Z74,Z84,2.5,null
G30,Z186,Z6,10.0,null
G1290,Z103,Z205,1.25,null
G31,Z186,Z6,10.0,null
G951,Z114,Z140,10.0,null
G32,Z186,Z6,10.0,null
G33,Z186,Z6,10.0,null
G840,Z103,Z205,10.0,null
G35,Z186,Z6,100.0,null
G36,Z186,Z6,100.0,null
G37,Z186,Z6,1.25,null
G1707,Z18,Z99,10.0,null
G760,Z186,Z29,10.0,null
G118,Z18,Z99,10.0,null
G727,Z18,Z99,10.0,null
G2108,Z8,Z20,10.0,null
G2074,Z0,Z16,10.0,null
G43,Z186,Z6,1.25,null
G397,Z46,Z45,1.25,null
G44,Z186,Z6,1.25,null
G1980,Z154,Z144,10.0,null
G46,Z186,Z6,1.25,null
G1013,Z177,Z29,2.5,null
G5,Z6,Z186,100.0,null
G1125,Z177,Z29,10.0,null
G47,Z6,Z186,100.0,null
G48,Z87,Z125,100.0,null
G49,Z196,Z23,10.0,null
G50,Z129,Z18,10.0,Z142
G51,Z129,Z18,10.0,null
G52,Z16,Z100,10.0,null
G555,Z197,Z30,1.25,null
G1692,Z197,Z30,1.25,Z70
G466,Z197,Z30,1.25,Z106,Z123
G354,Z23,Z18,10.0,null
G57,Z16,Z100,1.25,null
G97,Z33,Z182,100.0,null
G58,Z87,Z195,10.0,null
G601,Z0,Z148,10.0,null
G59,Z87,Z195,100.0,null
G162,Z0,Z148,1.25,null
G61,Z27,Z48,100.0,null
G1572,Z186,Z29,100.0,null
G62,Z47,Z110,10.0,null
G1774,Z186,Z29,100.0,null
G63,Z47,Z110,10.0,null
G65,Z47,Z110,10.0,null
G1351,Z186,Z29,10.0,null
G66,Z47,Z110,10.0,null
G68,Z174,Z209,10.0,null
G69,Z164,Z50,10.0,null
G537,Z49,Z24,10.0,null
G24,Z49,Z24,10.0,null
G1824,Z46,Z103,1.25,null
G1733,Z49,Z24,10.0,null
G2148,Z46,Z103,1.25,null
G67,Z46,Z103,1.25,null
G80,Z20,Z35,1.25,null
G1364,Z46,Z103,1.25,null
G81,Z166,Z10,10.0,null
G2038,Z46,Z103,1.25,null
G83,Z90,Z204,100.0,null
G2484,Z46,Z103,1.25,Z73,Z40,Z205
G84,Z3,Z18,10.0,null
G1900,Z46,Z103,1.25,null
G85,Z37,Z99,10.0,null
G87,Z166,Z151,10.0,null
G90,Z166,Z151,10.0,null
G91,Z2,Z194,10.0,null
G92,Z160,Z45,10.0,null
G93,Z208,Z84,10.0,null
G1032,Z177,Z29,2.5,null
G842,Z160,Z46,1.25,null
G1118,Z177,Z29,2.5,null
G198,Z160,Z46,1.25,null
G1141,Z177,Z29,2.5,null
G42,Z177,Z29,2.5,null
G1937,Z160,Z46,10.0,null
G100,Z208,Z84,10.0,null
G722,Z177,Z29,2.5,null
G1459,Z160,Z46,1.25,null
G101,Z186,Z84,10.0,null
G920,Z177,Z29,2.5,null
G1637,Z74,Z150,10.0,null
G102,Z186,Z84,10.0,null
G278,Z177,Z29,2.5,null
G2428,Z72,Z164,10.0,null
G103,Z186,Z84,10.0,Z44,Z60
G288,Z207,Z83,100.0,null
G583,Z39,Z102,10.0,null
G104,Z186,Z84,10.0,null
G351,Z23,Z205,10.0,null
G1196,Z112,Z185,100.0,null
G105,Z186,Z84,10.0,null
G1295,Z39,Z102,10.0,null
G106,Z186,Z84,10.0,null
G719,Z49,Z24,10.0,null
G1931,Z39,Z102,10.0,null
G107,Z186,Z84,1.25,null
G108,Z186,Z84,1.25,null
G109,Z125,Z139,100.0,null
G1861,Z39,Z102,10.0,null
G2149,Z6,Z116,10.0,null
G247,Z6,Z116,10.0,null
G120,Z23,Z6,1.25,null
G122,Z14,Z75,1.25,null
G655,Z195,Z79,100.0,null
G123,Z23,Z6,1.25,null
G124,Z14,Z75,1.25,null
G1388,Z61,Z209,10.0,null
G125,Z23,Z6,1.25,null
G126,Z14,Z75,10.0,Z31,Z126
G326,Z136,Z131,10.0,null
G127,Z23,Z6,1.25,null
G128,Z14,Z75,10.0,null
G2304,Z195,Z79,10.0,null
G130,Z23,Z6,10.0,null
G131,Z14,Z75,1.25,Z176
G1400,Z129,Z142,2.5,null
G132,Z23,Z6,10.0,null
G133,Z14,Z75,1.25,null
G2161,Z129,Z142,2.5,null
G134,Z23,Z6,10.0,null
G135,Z14,Z75,1.25,Z126
G137,Z23,Z6,10.0,null
G138,Z14,Z75,1.25,null
G2302,Z129,Z142,2.5,null
G139,Z23,Z6,10.0,null
G140,Z14,Z75,1.25,null
G141,Z23,Z6,10.0,null
G142,Z14,Z75,1.25,null
G626,Z129,Z142,2.5,null
G2453,Z129,Z142,2.5,null
G1403,Z129,Z142,2.5,null
G147,Z23,Z6,10.0,null
G513,Z129,Z142,2.5,null
G148,Z23,Z6,10.0,null
G450,Z146,Z8,1.25,null
G149,Z23,Z6,10.0,null
G2045,Z129,Z142,2.5,null
G150,Z23,Z6,10.0,null
G1683,Z19,Z197,10.0,null
G151,Z23,Z6,10.0,null
G1561,Z146,Z8,10.0,null
G152,Z23,Z6,10.0,null
G1418,Z197,Z116,10.0,null
G153,Z23,Z6,1.25,null
G1609,Z121,Z20,10.0,null
G156,Z23,Z6,10.0,Z128
G157,Z23,Z6,1.25,null
G158,Z23,Z6,1.25,null
G964,Z197,Z116,10.0,null
G421,Z197,Z116,10.0,null
G235,Z197,Z116,10.0,null
G164,Z23,Z6,1.25,null
G1732,Z59,Z12,10.0,null
G165,Z18,Z6,1.25,Z177,Z159,Z44
G337,Z59,Z12,1.25,null
G168,Z18,Z6,1.25,Z165
G1470,Z58,Z208,10.0,null
G169,Z18,Z6,10.0,null
G938,Z58,Z208,10.0,null
G171,Z18,Z6,10.0,null
G1619,Z14,Z176,10.0,null
G172,Z18,Z6,10.0,null
G767,Z58,Z208,10.0,null
G173,Z18,Z6,1.25,null
G174,Z18,Z6,10.0,null
G342,Z14,Z176,10.0,null
G176,Z18,Z6,10.0,null
G177,Z18,Z6,10.0,null
G793,Z96,Z93,10.0,null
G702,Z113,Z8,100.0,null
G899,Z96,Z93,10.0,null
G55,Z96,Z93,10.0,null
G186,Z96,Z29,10.0,null
G188,Z142,Z6,10.0,null
G768,Z104,Z105,10.0,Z111,Z78,Z175
G189,Z142,Z6,1.25,Z129
G1413,Z96,Z93,10.0,null
G190,Z142,Z6,1.25,null
G962,Z6,Z84,10.0,null
G191,Z142,Z6,1.25,null
G445,Z104,Z105,10.0,Z155,Z175
G192,Z142,Z6,1.25,null
G1257,Z6,Z84,1.25,null
G194,Z142,Z6,1.25,null
G1437,Z6,Z84,10.0,null
G195,Z142,Z6,10.0,null
G196,Z160,Z6,1.25,null
G197,Z160,Z6,1.25,null
G1174,Z6,Z84,1.25,Z49,Z158,Z137
G1624,Z6,Z84,1.25,Z44,Z24
G1392,Z6,Z84,1.25,null
G166,Z6,Z84,1.25,null
G205,Z160,Z6,1.25,null
G207,Z160,Z6,1.25,null
G932,Z6,Z84,1.25,null
G79,Z178,Z14,10.0,null
G209,Z160,Z6,1.25,null
G211,Z160,Z6,1.25,null
G1006,Z6,Z84,2.5,null
G212,Z160,Z6,1.25,null
G576,Z178,Z14,1.25,null
G213,Z160,Z6,1.25,null
G1664,Z178,Z14,1.25,null
G214,Z160,Z6,1.25,null
G215,Z160,Z6,1.25,null
G716,Z178,Z14,10.0,Z120,Z9
G216,Z160,Z6,1.25,Z57,Z49
G217,Z160,Z6,1.25,null
G1462,Z109,Z29,10.0,null
G1771,Z178,Z14,10.0,null
G2271,Z206,Z159,100.0,null
G228,Z139,Z144,10.0,null
G1557,Z109,Z29,10.0,null
G229,Z29,Z171,10.0,Z177
G654,Z6,Z150,10.0,null
G230,Z178,Z30,10.0,null
G1989,Z6,Z150,10.0,null
G231,Z6,Z30,10.0,Z104,Z63
G1201,Z6,Z150,1.25,null
G114,Z6,Z150,1.25,null
G232,Z6,Z30,1.25,null
G234,Z68,Z73,10.0,null
G764,Z6,Z150,1.25,null
G236,Z68,Z73,10.0,null
G1292,Z6,Z150,1.25,null
G239,Z68,Z73,10.0,null
G242,Z68,Z73,1.25,null
G243,Z68,Z73,1.25,null
G136,Z6,Z150,10.0,null
G2370,Z46,Z179,1.25,null
G1902,Z155,Z6,10.0,null
G251,Z68,Z73,1.25,null
G1225,Z197,Z91,10.0,null
G254,Z68,Z73,1.25,null
G605,Z197,Z91,10.0,null
G255,Z123,Z193,10.0,null
G260,Z197,Z91,2.5,null
G256,Z123,Z193,2.5,null
G705,Z197,Z91,2.5,null
G258,Z123,Z193,2.5,null
G407,Z145,Z161,1.25,null
G259,Z123,Z193,2.5,null
G476,Z145,Z161,1.25,null
G261,Z123,Z193,2.5,null
G262,Z123,Z193,2.5,null
G1616,Z145,Z161,1.25,null
G263,Z123,Z193,2.5,Z106
G264,Z123,Z193,2.5,null
G895,Z145,Z161,1.25,null
G2131,Z145,Z161,1.25,null
G1274,Z105,Z29,10.0,null
G117,Z145,Z161,1.25,null
G269,Z123,Z193,2.5,null
G271,Z47,Z95,10.0,Z60
G608,Z105,Z29,10.0,null
G272,Z186,Z23,10.0,null
G699,Z105,Z29,10.0,null
G273,Z186,Z23,10.0,Z142
G709,Z105,Z29,10.0,null
G274,Z186,Z23,10.0,null
G460,Z105,Z29,10.0,null
G276,Z186,Z23,10.0,null
G959,Z105,Z29,10.0,null
G277,Z186,Z23,10.0,null
G1350,Z105,Z29,10.0,null
G280,Z186,Z23,10.0,null
G281,Z186,Z23,10.0,null
G282,Z186,Z23,10.0,null
G290,Z186,Z23,10.0,null
G292,Z186,Z23,10.0,null
G293,Z186,Z23,10.0,null
G294,Z186,Z23,10.0,null
G295,Z186,Z23,10.0,Z142
G297,Z186,Z23,10.0,null
G298,Z196,Z70,10.0,null
G299,Z196,Z70,10.0,null
G300,Z196,Z70,10.0,null
G301,Z196,Z70,2.5,null
G303,Z196,Z70,10.0,null
G304,Z196,Z70,10.0,null
G305,Z196,Z70,10.0,null
G306,Z196,Z70,10.0,null
G308,Z135,Z93,10.0,null
G309,Z135,Z93,10.0,null
G310,Z135,Z93,10.0,null
G311,Z135,Z93,10.0,null
G312,Z143,Z122,100.0,null
G313,Z146,Z46,1.25,null
G1988,Z172,Z70,10.0,null
G1504,Z46,Z40,1.25,null
G302,Z172,Z70,10.0,null
G2330,Z46,Z40,1.25,null
G1992,Z46,Z40,1.25,null
G223,Z46,Z40,10.0,null
G917,Z46,Z40,10.0,null
G1172,Z46,Z40,10.0,null
G801,Z46,Z40,10.0,null
G1258,Z46,Z40,10.0,null
G918,Z129,Z6,2.5,null
G279,Z129,Z6,2.5,null
G1143,Z129,Z6,2.5,null
G1394,Z129,Z6,2.5,Z186
G356,Z103,Z6,1.25,null
G585,Z129,Z6,2.5,null
G357,Z103,Z6,1.25,null
G1842,Z129,Z6,2.5,null
G99,Z144,Z70,10.0,null
G359,Z103,Z6,1.25,Z171,Z135
G360,Z103,Z6,1.25,null
G439,Z196,Z150,1.25,null
G340,Z172,Z70,1.25,null
G361,Z103,Z6,1.25,null
G363,Z66,Z100,10.0,null
G505,Z8,Z192,100.0,null
G364,Z66,Z100,1.25,null
G366,Z89,Z147,10.0,null
G367,Z32,Z11,10.0,null
G368,Z32,Z11,10.0,null
G862,Z23,Z45,10.0,null
G1530,Z23,Z45,2.5,null
G1336,Z23,Z45,10.0,null
G1035,Z23,Z45,2.5,Z188
G843,Z23,Z45,2.5,null
G1003,Z23,Z45,2.5,null
G376,Z32,Z11,10.0,null
G990,Z23,Z45,2.5,null
G377,Z32,Z11,10.0,null
G820,Z23,Z45,2.5,null
G378,Z38,Z164,10.0,null
G1029,Z23,Z45,2.5,null
G379,Z145,Z40,1.25,null
G380,Z145,Z40,1.25,null
G1102,Z23,Z45,10.0,Z188
G384,Z145,Z40,1.25,null
G385,Z145,Z40,1.25,null
G386,Z145,Z40,1.25,null
G388,Z145,Z40,10.0,null
G389,Z145,Z40,10.0,null
G1625,Z46,Z161,1.25,null
G982,Z46,Z40,10.0,null
G1539,Z46,Z161,10.0,null
G1685,Z46,Z161,1.25,null
G353,Z38,Z79,10.0,null
G393,Z145,Z40,10.0,null
G394,Z145,Z40,10.0,null
G1156,Z21,Z92,100.0,null
G395,Z145,Z40,10.0,null
G1741,Z38,Z79,10.0,null
G396,Z29,Z108,2.5,null
G1658,Z38,Z79,10.0,null
G398,Z29,Z108,2.5,null
G467,Z23,Z45,10.0,null
G399,Z29,Z108,2.5,null
G1778,Z23,Z45,10.0,null
G401,Z29,Z108,2.5,null
G403,Z29,Z108,1.25,null
G404,Z29,Z108,1.25,null
G405,Z29,Z108,1.25,null
G1574,Z196,Z6,10.0,null
G332,Z196,Z6,1.25,null
G1540,Z196,Z6,10.0,Z124,Z33,Z189
G387,Z196,Z6,10.0,null
G1081,Z196,Z6,100.0,null
G1004,Z196,Z6,10.0,null
G336,Z196,Z6,10.0,null
G411,Z29,Z108,1.25,null
G412,Z29,Z108,1.25,null
G2485,Z196,Z6,1.25,null
G413,Z29,Z108,10.0,null
G1632,Z196,Z6,100.0,null
G415,Z29,Z108,10.0,null
G416,Z29,Z108,10.0,null
G2415,Z196,Z6,1.25,null
G417,Z1,Z182,100.0,null
G418,Z204,Z198,100.0,null
G419,Z8,Z138,10.0,null
G420,Z8,Z138,1.25,null
G422,Z50,Z85,10.0,null
G1009,Z56,Z130,100.0,null
G1869,Z13,Z90,100.0,null
G1376,Z41,Z66,10.0,null
G901,Z41,Z66,1.25,null
G428,Z146,Z138,1.25,null
G2186,Z146,Z6,1.25,null
G429,Z201,Z144,10.0,null
G2091,Z146,Z6,1.25,null
G433,Z201,Z144,10.0,null
G1967,Z196,Z6,10.0,null
G434,Z201,Z144,10.0,null
G2205,Z146,Z6,1.25,null
G436,Z201,Z144,10.0,null
G2153,Z196,Z6,10.0,null
G225,Z196,Z6,10.0,null
G437,Z105,Z29,100.0,null
G438,Z105,Z29,10.0,null
G440,Z105,Z29,10.0,null
G441,Z105,Z29,10.0,null
G443,Z105,Z29,10.0,null
G1445,Z196,Z6,1.25,Z124,Z27
G1584,Z6,Z196,10.0,null
G1743,Z6,Z196,10.0,null
G2301,Z6,Z196,10.0,null
G1018,Z6,Z196,1.25,null
G285,Z196,Z6,10.0,null
G3,Z196,Z6,100.0,null
G449,Z105,Z29,10.0,null
G451,Z105,Z29,10.0,Z78,Z99,Z53
G2374,Z186,Z18,100.0,null
G453,Z105,Z29,10.0,null
G1555,Z42,Z22,10.0,null
G454,Z145,Z161,1.25,null
G456,Z145,Z161,1.25,null
G1647,Z186,Z18,10.0,null
G458,Z145,Z161,1.25,null
G459,Z145,Z161,1.25,null
G461,Z145,Z161,1.25,null
G462,Z145,Z161,1.25,null
G464,Z197,Z91,2.5,null
G1466,Z196,Z6,1.25,null
G2331,Z196,Z6,1.25,null
G743,Z196,Z6,10.0,null
G1173,Z196,Z6,10.0,null
G469,Z197,Z91,2.5,null
G954,Z196,Z6,10.0,null
G470,Z197,Z91,10.0,null
G1365,Z196,Z6,10.0,null
G471,Z197,Z91,10.0,null
G735,Z196,Z6,1.25,Z124,Z49
G472,Z46,Z179,1.25,Z120
G857,Z196,Z6,2.5,null
G474,Z155,Z6,10.0,null
G1668,Z196,Z6,1.25,null
G475,Z6,Z150,10.0,null
G1500,Z196,Z6,10.0,null
G477,Z6,Z150,1.25,Z156,Z85,Z50
G478,Z6,Z150,1.25,null
G479,Z6,Z150,1.25,null
G480,Z6,Z150,1.25,null
G2353,Z46,Z70,1.25,null
G1378,Z46,Z70,1.25,null
G2384,Z46,Z70,1.25,null
G45,Z46,Z23,10.0,null
G2276,Z70,Z46,1.25,null
G222,Z70,Z46,1.25,null
G1373,Z46,Z23,10.0,null
G1464,Z70,Z150,1.25,null
G489,Z6,Z150,10.0,null
G672,Z46,Z23,10.0,null
G790,Z70,Z150,1.25,null
G182,Z46,Z23,10.0,null
G490,Z6,Z150,10.0,null
G1420,Z70,Z150,10.0,null
G491,Z206,Z159,100.0,null
G729,Z46,Z23,10.0,Z141,Z138,Z8
G2346,Z70,Z150,10.0,null
G492,Z109,Z29,10.0,Z108
G1030,Z46,Z23,10.0,null
G495,Z109,Z29,10.0,null
G844,Z46,Z23,10.0,null
G1987,Z70,Z150,10.0,null
G496,Z178,Z14,10.0,null
G997,Z46,Z23,10.0,null
G498,Z178,Z14,10.0,null
G1010,Z46,Z23,10.0,null
G500,Z178,Z14,1.25,null
G482,Z46,Z23,10.0,null
G501,Z178,Z14,1.25,null
G502,Z178,Z14,10.0,null
G2185,Z46,Z70,1.25,null
G1514,Z44,Z6,10.0,null
G2424,Z46,Z70,1.25,null
G2480,Z46,Z70,1.25,null
G56,Z46,Z103,10.0,null
G238,Z46,Z70,1.25,null
G514,Z6,Z84,2.5,null
G515,Z6,Z84,1.25,Z50
G1930,Z46,Z103,1.25,null
G2344,Z46,Z70,1.25,null
G284,Z46,Z23,1.25,Z73,Z35,Z162
G516,Z6,Z84,1.25,null
G2168,Z46,Z70,1.25,null
G517,Z6,Z84,1.25,null
G1847,Z46,Z23,1.25,null
G2096,Z46,Z70,1.25,null
G21,Z46,Z23,10.0,Z141
G518,Z75,Z14,10.0,null
G519,Z6,Z84,1.25,null
G2408,Z46,Z70,1.25,null
G520,Z75,Z14,10.0,null
G521,Z6,Z84,1.25,null
G2031,Z46,Z23,1.25,null
G2347,Z46,Z70,1.25,null
G523,Z75,Z14,10.0,Z126,Z209,Z176
G524,Z6,Z84,1.25,Z154,Z118,Z110
G1463,Z46,Z23,10.0,null
G525,Z75,Z14,10.0,null
G526,Z6,Z84,10.0,null
G663,Z46,Z23,10.0,null
G527,Z75,Z14,10.0,Z31
G528,Z6,Z84,10.0,null
G1935,Z46,Z23,10.0,null
G529,Z75,Z14,10.0,Z126,Z209
G530,Z104,Z105,10.0,null
G758,Z46,Z23,10.0,Z68,Z35
G531,Z75,Z14,10.0,null
G533,Z75,Z14,10.0,null
G534,Z75,Z14,10.0,Z31,Z176
G535,Z75,Z14,10.0,null
G1521,Z75,Z14,1.25,null
G1612,Z75,Z14,10.0,null
G541,Z104,Z105,10.0,null
G863,Z75,Z14,1.25,null
G542,Z96,Z93,10.0,null
G2285,Z75,Z14,10.0,null
G543,Z96,Z93,10.0,null
G2147,Z75,Z14,10.0,null
G544,Z96,Z93,10.0,null
G1684,Z75,Z14,10.0,null
G546,Z96,Z93,10.0,null
G547,Z75,Z14,1.25,null
G1116,Z75,Z14,1.25,null
G250,Z75,Z14,10.0,null
G548,Z113,Z8,100.0,null
G549,Z75,Z14,10.0,null
G550,Z75,Z14,10.0,Z126,Z209,Z31
G551,Z14,Z176,10.0,null
G2048,Z75,Z14,10.0,null
G553,Z75,Z14,10.0,null
G554,Z14,Z176,10.0,null
G556,Z75,Z14,1.25,null
G557,Z58,Z208,10.0,null
G1899,Z75,Z14,10.0,null
G558,Z75,Z14,1.25,Z126,Z209,Z31
G559,Z58,Z208,10.0,null
